Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Båstad,2010,14278
"Invånare  totalt, antal",Båstad,2011,14230
"Invånare  totalt, antal",Båstad,2012,14263
"Invånare  totalt, antal",Båstad,2013,14275
"Invånare  totalt, antal",Båstad,2014,14419
"Invånare  totalt, antal",Båstad,2015,14373
"Invånare  totalt, antal",Båstad,2016,14614
"Invånare  totalt, antal",Dals-Ed,2010,4692
"Invånare  totalt, antal",Dals-Ed,2011,4679
"Invånare  totalt, antal",Dals-Ed,2012,4665
"Invånare  totalt, antal",Dals-Ed,2013,4740
"Invånare  totalt, antal",Dals-Ed,2014,4764
"Invånare  totalt, antal",Dals-Ed,2015,4799
"Invånare  totalt, antal",Dals-Ed,2016,4777
"Invånare  totalt, antal",Danderyd,2010,31330
"Invånare  totalt, antal",Danderyd,2011,31799
"Invånare  totalt, antal",Danderyd,2012,31960
"Invånare  totalt, antal",Danderyd,2013,32222
"Invånare  totalt, antal",Danderyd,2014,32295
"Invånare  totalt, antal",Danderyd,2015,32421
"Invånare  totalt, antal",Danderyd,2016,32653
"Invånare  totalt, antal",Degerfors,2010,9641
"Invånare  totalt, antal",Degerfors,2011,9551
"Invånare  totalt, antal",Degerfors,2012,9477
"Invånare  totalt, antal",Degerfors,2013,9500
"Invånare  totalt, antal",Degerfors,2014,9531
"Invånare  totalt, antal",Degerfors,2015,9543
"Invånare  totalt, antal",Degerfors,2016,9609
"Invånare  totalt, antal",Dorotea,2010,2878
"Invånare  totalt, antal",Dorotea,2011,2862
"Invånare  totalt, antal",Dorotea,2012,2794
"Invånare  totalt, antal",Dorotea,2013,2757
"Invånare  totalt, antal",Dorotea,2014,2757
"Invånare  totalt, antal",Dorotea,2015,2740
"Invånare  totalt, antal",Dorotea,2016,2719
"Invånare  totalt, antal",Eda,2010,8524
"Invånare  totalt, antal",Eda,2011,8460
"Invånare  totalt, antal",Eda,2012,8496
"Invånare  totalt, antal",Eda,2013,8426
"Invånare  totalt, antal",Eda,2014,8453
"Invånare  totalt, antal",Eda,2015,8505
"Invånare  totalt, antal",Eda,2016,8526
"Invånare  totalt, antal",Ekerö,2010,25410
"Invånare  totalt, antal",Ekerö,2011,25767
"Invånare  totalt, antal",Ekerö,2012,26160
"Invånare  totalt, antal",Ekerö,2013,26355
"Invånare  totalt, antal",Ekerö,2014,26698
"Invånare  totalt, antal",Ekerö,2015,26984
"Invånare  totalt, antal",Ekerö,2016,27406
"Invånare  totalt, antal",Eksjö,2010,16244
"Invånare  totalt, antal",Eksjö,2011,16304
"Invånare  totalt, antal",Eksjö,2012,16368
"Invånare  totalt, antal",Eksjö,2013,16464
"Invånare  totalt, antal",Eksjö,2014,16598
"Invånare  totalt, antal",Eksjö,2015,16790
"Invånare  totalt, antal",Eksjö,2016,17129
"Invånare  totalt, antal",Emmaboda,2010,9187
"Invånare  totalt, antal",Emmaboda,2011,9039
"Invånare  totalt, antal",Emmaboda,2012,8991
"Invånare  totalt, antal",Emmaboda,2013,8964
"Invånare  totalt, antal",Emmaboda,2014,9009
"Invånare  totalt, antal",Emmaboda,2015,9090
"Invånare  totalt, antal",Emmaboda,2016,9348
"Invånare  totalt, antal",Enköping,2010,39759
"Invånare  totalt, antal",Enköping,2011,40015
"Invånare  totalt, antal",Enköping,2012,40349
"Invånare  totalt, antal",Enköping,2013,40656
"Invånare  totalt, antal",Enköping,2014,41163
"Invånare  totalt, antal",Enköping,2015,41893
"Invånare  totalt, antal",Enköping,2016,42988
"Invånare  totalt, antal",Eskilstuna,2010,96311
"Invånare  totalt, antal",Eskilstuna,2011,97596
"Invånare  totalt, antal",Eskilstuna,2012,98765
"Invånare  totalt, antal",Eskilstuna,2013,99729
"Invånare  totalt, antal",Eskilstuna,2014,100923
"Invånare  totalt, antal",Eskilstuna,2015,102065
"Invånare  totalt, antal",Eskilstuna,2016,103684
"Invånare  totalt, antal",Eslöv,2010,31587
"Invånare  totalt, antal",Eslöv,2011,31728
"Invånare  totalt, antal",Eslöv,2012,31744
"Invånare  totalt, antal",Eslöv,2013,31920
"Invånare  totalt, antal",Eslöv,2014,32179
"Invånare  totalt, antal",Eslöv,2015,32438
"Invånare  totalt, antal",Eslöv,2016,32878
"Invånare  totalt, antal",Essunga,2010,5564
"Invånare  totalt, antal",Essunga,2011,5493
"Invånare  totalt, antal",Essunga,2012,5502
"Invånare  totalt, antal",Essunga,2013,5494
"Invånare  totalt, antal",Essunga,2014,5538
"Invånare  totalt, antal",Essunga,2015,5590
"Invånare  totalt, antal",Essunga,2016,5620
"Invånare  totalt, antal",Fagersta,2010,12443
"Invånare  totalt, antal",Fagersta,2011,12553
"Invånare  totalt, antal",Fagersta,2012,12634
"Invånare  totalt, antal",Fagersta,2013,12872
"Invånare  totalt, antal",Fagersta,2014,13133
"Invånare  totalt, antal",Fagersta,2015,13286
"Invånare  totalt, antal",Fagersta,2016,13445
"Invånare  totalt, antal",Falkenberg,2010,41008
"Invånare  totalt, antal",Falkenberg,2011,41304
"Invånare  totalt, antal",Falkenberg,2012,41423
"Invånare  totalt, antal",Falkenberg,2013,41912
"Invånare  totalt, antal",Falkenberg,2014,42433
"Invånare  totalt, antal",Falkenberg,2015,42949
"Invånare  totalt, antal",Falkenberg,2016,43867
"Invånare  totalt, antal",Falköping,2010,31513
"Invånare  totalt, antal",Falköping,2011,31689
"Invånare  totalt, antal",Falköping,2012,31689
"Invånare  totalt, antal",Falköping,2013,31988
"Invånare  totalt, antal",Falköping,2014,32185
"Invånare  totalt, antal",Falköping,2015,32511
"Invånare  totalt, antal",Falköping,2016,32806
"Invånare  totalt, antal",Falun,2010,56044
"Invånare  totalt, antal",Falun,2011,56124
"Invånare  totalt, antal",Falun,2012,56432
"Invånare  totalt, antal",Falun,2013,56767
"Invånare  totalt, antal",Falun,2014,56896
"Invånare  totalt, antal",Falun,2015,57062
"Invånare  totalt, antal",Falun,2016,57685
"Invånare  totalt, antal",Filipstad,2010,10562
"Invånare  totalt, antal",Filipstad,2011,10514
"Invånare  totalt, antal",Filipstad,2012,10549
"Invånare  totalt, antal",Filipstad,2013,10563
"Invånare  totalt, antal",Filipstad,2014,10613
"Invånare  totalt, antal",Filipstad,2015,10625
"Invånare  totalt, antal",Filipstad,2016,10960
"Invånare  totalt, antal",Finspång,2010,20747
"Invånare  totalt, antal",Finspång,2011,20763
"Invånare  totalt, antal",Finspång,2012,20791
"Invånare  totalt, antal",Finspång,2013,20903
"Invånare  totalt, antal",Finspång,2014,21150
"Invånare  totalt, antal",Finspång,2015,21199
"Invånare  totalt, antal",Finspång,2016,21526
"Invånare  totalt, antal",Flen,2010,16028
