,crime,crime_id,period,period_id,periodicity,region,region_id,timepoint,value
128,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,235250
129,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,229311
130,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,237671
131,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,245972
132,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,232127
133,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,227455
134,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,221981
135,"Stöld-, rån- och häleribrott, Stöld och snatteri",3369,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,208448
136,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,52633
137,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,51808
138,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,53755
139,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,59275
140,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,61743
141,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,58344
